freq earlylow earlyhighmidlow midhighlatelow latehigh design BNSoptimised
1.119480e+01 3.185263e-20 3.268265e-21 2.036475e-21 2.035834e-21 9.429205e-22 6.964727e-22 7.033590e-22
1.122062e+01 3.156060e-20 3.238369e-21 2.017814e-21 2.017174e-21 9.342348e-22 6.900426e-22 6.969223e-22
1.124649e+01 3.127125e-20 3.208748e-21 1.999325e-21 1.998685e-21 9.256301e-22 6.836734e-22 6.905565e-22
1.127243e+01 3.098454e-20 3.179398e-21 1.981007e-21 1.980367e-21 9.171057e-22 6.773644e-22 6.842370e-22
1.129842e+01 3.070047e-20 3.150319e-21 1.962857e-21 1.962217e-21 9.086609e-22 6.711151e-22 6.779865e-22
1.132447e+01 3.041901e-20 3.121506e-21 1.944874e-21 1.944235e-21 9.002948e-22 6.649250e-22 6.718054e-22
1.135059e+01 3.014012e-20 3.092958e-21 1.927056e-21 1.926418e-21 8.920068e-22 6.587934e-22 6.656681e-22
1.137676e+01 2.986380e-20 3.064672e-21 1.909403e-21 1.908765e-21 8.837960e-22 6.527197e-22 6.595969e-22
1.140300e+01 2.959000e-20 3.036646e-21 1.891912e-21 1.891274e-21 8.756619e-22 6.467034e-22 6.535707e-22
1.142929e+01 2.931872e-20 3.008877e-21 1.874582e-21 1.873944e-21 8.676035e-22 6.407440e-22 6.476098e-22
1.145565e+01 2.904993e-20 2.981364e-21 1.857412e-21 1.856774e-21 8.596203e-22 6.348410e-22 6.416915e-22
1.148207e+01 2.878360e-20 2.954103e-21 1.840400e-21 1.839762e-21 8.517115e-22 6.289936e-22 6.358598e-22
1.150854e+01 2.851971e-20 2.927092e-21 1.823544e-21 1.822907e-21 8.438764e-22 6.232015e-22 6.300478e-22
1.153508e+01 2.825825e-20 2.900329e-21 1.806843e-21 1.806206e-21 8.361143e-22 6.174641e-22 6.243209e-22
1.156168e+01 2.799918e-20 2.873812e-21 1.790296e-21 1.789660e-21 8.284246e-22 6.117808e-22 6.186349e-22
1.158834e+01 2.774249e-20 2.847539e-21 1.773901e-21 1.773265e-21 8.208065e-22 6.061512e-22 6.129901e-22
1.161507e+01 2.748815e-20 2.821507e-21 1.757657e-21 1.757022e-21 8.132593e-22 6.005748e-22 6.074261e-22
1.164185e+01 2.723615e-20 2.795714e-21 1.741563e-21 1.740928e-21 8.057825e-22 5.950509e-22 6.018829e-22
1.166870e+01 2.698645e-20 2.770158e-21 1.725617e-21 1.724982e-21 7.983754e-22 5.895792e-22 5.964188e-22
1.169561e+01 2.673905e-20 2.744836e-21 1.709817e-21 1.709182e-21 7.910372e-22 5.841591e-22 5.909940e-22
1.172258e+01 2.649392e-20 2.719748e-21 1.694163e-21 1.693529e-21 7.837674e-22 5.787902e-22 5.856280e-22
1.174961e+01 2.625103e-20 2.694889e-21 1.678653e-21 1.678019e-21 7.765654e-22 5.734719e-22 5.803006e-22
1.177670e+01 2.601037e-20 2.670259e-21 1.663286e-21 1.662652e-21 7.694304e-22 5.682037e-22 5.750306e-22
1.180386e+01 2.577192e-20 2.645854e-21 1.648060e-21 1.647426e-21 7.623618e-22 5.629853e-22 5.698169e-22
1.183108e+01 2.553565e-20 2.621675e-21 1.632974e-21 1.632341e-21 7.553591e-22 5.578160e-22 5.646410e-22
1.185836e+01 2.530156e-20 2.597717e-21 1.618027e-21 1.617394e-21 7.484216e-22 5.526956e-22 5.595204e-22
1.188571e+01 2.506960e-20 2.573979e-21 1.603217e-21 1.602584e-21 7.415487e-22 5.476234e-22 5.544367e-22
1.191311e+01 2.483978e-20 2.550459e-21 1.588544e-21 1.587912e-21 7.347398e-22 5.425990e-22 5.494083e-22
1.194059e+01 2.461207e-20 2.527155e-21 1.574006e-21 1.573374e-21 7.279943e-22 5.376221e-22 5.444334e-22
1.196812e+01 2.438644e-20 2.504065e-21 1.559601e-21 1.558970e-21 7.213117e-22 5.326921e-22 5.394931e-22
1.199572e+01 2.416288e-20 2.481187e-21 1.545329e-21 1.544698e-21 7.146913e-22 5.278086e-22 5.346073e-22
1.202338e+01 2.394137e-20 2.458519e-21 1.531189e-21 1.530558e-21 7.081325e-22 5.229711e-22 5.297730e-22
1.205111e+01 2.372189e-20 2.436059e-21 1.517178e-21 1.516548e-21 7.016349e-22 5.181793e-22 5.249735e-22
1.207890e+01 2.350443e-20 2.413806e-21 1.503296e-21 1.502666e-21 6.951977e-22 5.134327e-22 5.202252e-22
1.210675e+01 2.328896e-20 2.391756e-21 1.489542e-21 1.488913e-21 6.888205e-22 5.087309e-22 5.155280e-22
1.213467e+01 2.307547e-20 2.369910e-21 1.475915e-21 1.475286e-21 6.825028e-22 5.040734e-22 5.108639e-22
1.216265e+01 2.286393e-20 2.348264e-21 1.462413e-21 1.461784e-21 6.762439e-22 4.994599e-22 5.062496e-22
1.219070e+01 2.265434e-20 2.326816e-21 1.449036e-21 1.448407e-21 6.700433e-22 4.948900e-22 5.016678e-22
1.221881e+01 2.244667e-20 2.305566e-21 1.435781e-21 1.435153e-21 6.639005e-22 4.903632e-22 4.971359e-22
